TIME,Cp
SEC,NONE
0.0,-1.146E-02
10.0,-1.146E-02
20.0,-1.146E-02
30.0,-6.201E-03
40.0,4.617E-04
50.0,8.877E-03
60.0,2.112E-02
70.0,-1.646E-02
75.0,-2.506E-02
80.0,-2.002E-02
85.0,-1.469E-02
90.0,-1.123E-02
95.0,-8.510E-03
100.0,3.843E-02
105.0,6.111E-02
110.0,7.465E-02
115.0,7.576E-02
120.0,7.476E-02
125.0,6.733E-02
129.4,6.460E-02
130.8,6.435E-02
135.0,3.598E-03
140.0,1.685E+00
140.8,1.418E+00
142.4,8.762E-01
153.6,1.290E+00
160.0,1.085E-01
165.0,2.767E-01
170.0,4.896E-03
180.0,4.933E-03
190.0,5.076E-03
200.0,5.852E-03
210.0,6.376E-03
220.0,6.968E-03
230.0,7.800E-03
240.0,8.657E-03
250.0,9.194E-03
260.0,8.549E-03
270.0,7.594E-03
280.0,6.942E-03
290.0,6.279E-03
300.0,5.743E-03
310.0,5.018E-03
320.0,4.491E-03
330.0,3.771E-03
340.0,3.533E-03
350.0,3.210E-03
355.0,3.054E-03
360.0,3.691E-03
365.0,5.663E-03
370.0,6.690E-03
375.0,3.600E-02
380.0,8.738E-02
385.0,2.255E-02
390.0,1.828E-05
400.0,0.000E+00
410.0,0.000E+00
420.0,0.000E+00
430.0,0.000E+00
440.0,0.000E+00
450.0,0.000E+00
460.0,0.000E+00
465.0,0.000E+00
475.0,0.000E+00
485.0,0.000E+00
495.0,1.000E+00
505.0,1.000E+00
515.0,1.000E+00
525.0,1.000E+00
535.0,1.000E+00
545.0,1.000E+00
555.0,1.000E+00
565.0,1.000E+00
575.0,1.000E+00
585.0,1.000E+00
595.0,1.000E+00
610.0,1.000E+00
620.0,1.000E+00
630.0,1.000E+00
640.0,1.000E+00
650.0,1.000E+00
660.0,1.000E+00
670.0,1.000E+00
680.0,1.000E+00
690.0,1.000E+00
692.0,1.000E+00









Alpha =10 degrees Trajectory,
Vent No.,Y
,0.00
,
TIME,CP
SEC,
160.0,1.085E-01
165.0,2.767E-01
170.0,5.824E-02
180.0,5.781E-02
190.0,5.731E-02
200.0,5.685E-02
210.0,5.582E-02
220.0,5.454E-02
230.0,5.360E-02
240.0,5.357E-02
250.0,5.451E-02
260.0,5.536E-02
270.0,5.638E-02
280.0,5.739E-02
290.0,5.815E-02
300.0,5.853E-02
310.0,5.818E-02
320.0,5.793E-02
330.0,5.746E-02
340.0,5.766E-02
350.0,5.794E-02
355.0,5.790E-02
360.0,5.858E-02
365.0,6.024E-02
370.0,5.741E-02
375.0,6.308E-02
380.0,7.134E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
