;LAP Aft Skirt Plenum: Mass(lbm),Temperature(R),Pressure(psia)
#I=0,694,1; vent_c1d7a_las.vsm C:\0_afc_work\LAP_AFT_Skirt_Ascent_Reentry_Venting_Thermal_Analysis_using_VISIM\VISSIM\vent_c1d7a_las.vsm @ Sat Oct 27 16:26:55 2018
0	374.5	458	14.44	800.46	14.279	0.16096	0.16096	0
0.9995	370.28	458	14.277	803.71	14.277	-2.6222e-005	0	-2.6222e-005
1.9995	370.13	458	14.272	814.63	14.272	-3.4333e-005	0	-3.4333e-005
2.9995	369.87	458	14.261	834.57	14.261	-1.8295e-005	0	-1.8295e-005
3.9995	369.47	458	14.246	863.9	14.246	2.4788e-005	2.4788e-005	0
4.9995	368.95	458	14.226	902.8	14.226	9.639e-005	9.639e-005	0
5.9995	368.3	458	14.201	951.48	14.201	0.00019873	0.00019873	0
6.9995	367.52	458	14.171	1010.1	14.171	0.00033248	0.00033248	0
7.9995	366.61	458	14.136	1078.8	14.135	0.00050083	0.00050083	0
8.9995	365.56	458	14.095	1157.8	14.095	0.00070697	0.00070697	0
9.9995	364.38	458	14.05	1247.3	14.049	0.00095108	0.00095108	0
11	363.05	458	13.999	1347.6	13.997	0.0011885	0.0011885	0
12	361.59	458	13.942	1458.7	13.941	0.0014558	0.0014558	0
13	359.99	458	13.881	1580.8	13.879	0.0017564	0.0017564	0
14	358.25	458	13.813	1714.3	13.811	0.0020931	0.0020931	0
15	356.36	458	13.741	1859.1	13.738	0.0024657	0.0024657	0
16	354.34	458	13.663	2015.4	13.66	0.0028685	0.0028685	0
16.999	352.18	458	13.579	2183.3	13.576	0.0033031	0.0033031	0
17.999	349.88	458	13.491	2362.8	13.487	0.0037665	0.0037665	0
18.999	347.44	458	13.397	2553.9	13.393	0.0042594	0.0042594	0
19.999	344.88	458	13.298	2756.5	13.293	0.0047745	0.0047745	0
20.999	342.18	458	13.194	2970.4	13.189	0.0052191	0.0052191	0
21.999	339.36	458	13.085	3195.7	13.08	0.0056628	0.0056628	0
22.999	336.42	458	12.972	3432.2	12.966	0.0061271	0.0061271	0
