TIME,Cp
SEC,none
0.0,-3.002E-02
10.0,-3.002E-02
20.0,-3.002E-02
30.0,-4.265E-02
40.0,-5.865E-02
50.0,-7.886E-02
60.0,-8.105E-02
70.0,-6.004E-02
75.0,-5.271E-02
80.0,-4.905E-02
85.0,-4.519E-02
90.0,-4.247E-02
95.0,2.921E-02
100.0,4.267E-02
105.0,5.398E-02
110.0,6.516E-02
115.0,6.784E-02
120.0,6.842E-02
125.0,6.293E-02
129.4,6.092E-02
130.8,6.074E-02
135.0,3.598E-03
140.0,3.885E-01
140.8,2.187E-01
142.4,1.383E-01
153.6,1.913E-01
160.0,7.918E-02
165.0,1.905E-01
170.0,4.896E-03
180.0,4.933E-03
190.0,5.076E-03
200.0,5.852E-03
210.0,6.376E-03
220.0,6.968E-03
230.0,7.800E-03
240.0,8.657E-03
250.0,9.194E-03
260.0,8.549E-03
270.0,7.594E-03
280.0,6.942E-03
290.0,6.279E-03
300.0,5.743E-03
310.0,5.018E-03
320.0,4.491E-03
330.0,3.771E-03
340.0,3.533E-03
350.0,3.210E-03
355.0,3.054E-03
360.0,3.691E-03
365.0,5.663E-03
370.0,6.398E-03
375.0,2.733E-02
380.0,3.808E-02
385.0,2.255E-02
390.0,1.828E-05
400.0,0.000E+00
410.0,0.000E+00
420.0,0.000E+00
430.0,0.000E+00
440.0,0.000E+00
450.0,0.000E+00
460.0,0.000E+00
465.0,0.000E+00
475.0,0.000E+00
485.0,0.000E+00
495.0,-1.700E+00
505.0,-1.700E+00
515.0,-1.700E+00
525.0,-1.700E+00
535.0,-1.700E+00
545.0,-1.700E+00
555.0,-1.700E+00
565.0,-1.700E+00
575.0,-1.700E+00
585.0,-1.700E+00
595.0,-1.700E+00
610.0,-1.700E+00
620.0,-1.700E+00
630.0,-1.700E+00
640.0,-1.700E+00
650.0,-1.700E+00
660.0,-1.700E+00
670.0,-1.700E+00
680.0,-1.700E+00
690.0,-1.700E+00
692.0,-1.700E+00
,








Alpha =10 degrees Trajectory,
Vent No.,Y
,-124.66
,
TIME,CP
SEC,
160.0,7.918E-02
165.0,1.905E-01
170.0,4.862E-02
180.0,4.736E-02
190.0,4.564E-02
200.0,4.247E-02
210.0,3.792E-02
220.0,3.204E-02
230.0,2.631E-02
240.0,2.362E-02
250.0,2.559E-02
260.0,3.056E-02
270.0,3.662E-02
280.0,4.150E-02
290.0,4.532E-02
300.0,4.759E-02
310.0,4.820E-02
320.0,4.865E-02
330.0,4.892E-02
340.0,4.994E-02
350.0,5.127E-02
355.0,5.148E-02
360.0,5.182E-02
365.0,5.207E-02
370.0,4.571E-02
375.0,4.302E-02
380.0,3.560E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
