TIME,Cp
SEC,NONE
0.0,-4.695E-03
10.0,-4.695E-03
20.0,-4.695E-03
30.0,-6.293E-04
40.0,4.520E-03
50.0,1.103E-02
60.0,1.433E-02
70.0,-1.540E-02
75.0,-2.220E-02
80.0,-1.821E-02
85.0,-1.398E-02
90.0,-1.135E-02
95.0,-9.359E-03
100.0,3.945E-02
105.0,6.165E-02
110.0,7.386E-02
115.0,7.507E-02
120.0,7.421E-02
125.0,6.695E-02
129.4,6.429E-02
130.8,6.405E-02
135.0,3.598E-03
140.0,1.603E+00
140.8,1.311E+00
142.4,8.075E-01
153.6,1.192E+00
160.0,1.072E-01
165.0,2.728E-01
170.0,4.896E-03
180.0,4.933E-03
190.0,5.076E-03
200.0,5.852E-03
210.0,6.376E-03
220.0,6.968E-03
230.0,7.800E-03
240.0,8.657E-03
250.0,9.194E-03
260.0,8.549E-03
270.0,7.594E-03
280.0,6.942E-03
290.0,6.279E-03
300.0,5.743E-03
310.0,5.018E-03
320.0,4.491E-03
330.0,3.771E-03
340.0,3.533E-03
350.0,3.210E-03
355.0,3.054E-03
360.0,3.691E-03
365.0,5.663E-03
370.0,6.677E-03
375.0,3.563E-02
380.0,8.523E-02
385.0,2.255E-02
390.0,1.828E-05
400.0,0.000E+00
410.0,0.000E+00
420.0,0.000E+00
430.0,0.000E+00
440.0,0.000E+00
450.0,0.000E+00
460.0,0.000E+00
465.0,0.000E+00
475.0,0.000E+00
485.0,0.000E+00
495.0,8.200E-01
505.0,8.200E-01
515.0,8.200E-01
525.0,8.200E-01
535.0,8.200E-01
545.0,8.200E-01
555.0,8.200E-01
565.0,8.200E-01
575.0,8.200E-01
585.0,8.200E-01
595.0,8.200E-01
610.0,8.200E-01
620.0,8.200E-01
630.0,8.200E-01
640.0,8.200E-01
650.0,8.200E-01
660.0,8.200E-01
670.0,8.200E-01
680.0,8.200E-01
690.0,8.200E-01
692.0,8.200E-01









Alpha =10 degrees Trajectory,
Vent No.,Y
,33.39
,
TIME,CP
SEC,
160.0,1.072E-01
165.0,2.728E-01
170.0,5.783E-02
180.0,5.735E-02
190.0,5.681E-02
200.0,5.623E-02
210.0,5.505E-02
220.0,5.357E-02
230.0,5.242E-02
240.0,5.227E-02
250.0,5.326E-02
260.0,5.428E-02
270.0,5.552E-02
280.0,5.670E-02
290.0,5.759E-02
300.0,5.805E-02
310.0,5.775E-02
320.0,5.753E-02
330.0,5.709E-02
340.0,5.732E-02
350.0,5.765E-02
355.0,5.762E-02
360.0,5.829E-02
365.0,5.988E-02
370.0,5.690E-02
375.0,6.221E-02
380.0,6.979E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
