TIME,Cp
SEC,NONE
0.0,-3.519E-02
10.0,-3.519E-02
20.0,-3.519E-02
30.0,-4.951E-02
40.0,-6.763E-02
50.0,-9.053E-02
60.0,-9.076E-02
70.0,-6.818E-02
75.0,-6.008E-02
80.0,-5.556E-02
85.0,-5.080E-02
90.0,1.078E-02
95.0,2.911E-02
100.0,4.126E-02
105.0,5.209E-02
110.0,6.296E-02
115.0,6.600E-02
120.0,6.693E-02
125.0,6.193E-02
129.4,6.010E-02
130.8,5.993E-02
135.0,3.598E-03
140.0,2.201E-01
140.8,9.570E-02
142.4,6.180E-02
153.6,7.860E-02
160.0,7.189E-02
165.0,1.703E-01
170.0,4.896E-03
180.0,4.933E-03
190.0,5.076E-03
200.0,5.852E-03
210.0,6.376E-03
220.0,6.968E-03
230.0,7.800E-03
240.0,8.657E-03
250.0,9.194E-03
260.0,8.549E-03
270.0,7.594E-03
280.0,6.942E-03
290.0,6.279E-03
300.0,5.743E-03
310.0,5.018E-03
320.0,4.491E-03
330.0,3.771E-03
340.0,3.533E-03
350.0,3.210E-03
355.0,3.054E-03
360.0,3.691E-03
365.0,5.663E-03
370.0,6.323E-03
375.0,2.511E-02
380.0,2.568E-02
385.0,2.255E-02
390.0,1.828E-05
400.0,0.000E+00
410.0,0.000E+00
420.0,0.000E+00
430.0,0.000E+00
440.0,0.000E+00
450.0,0.000E+00
460.0,0.000E+00
465.0,0.000E+00
475.0,0.000E+00
485.0,0.000E+00
495.0,-1.750E+00
505.0,-1.750E+00
515.0,-1.750E+00
525.0,-1.750E+00
535.0,-1.750E+00
545.0,-1.750E+00
555.0,-1.750E+00
565.0,-1.750E+00
575.0,-1.750E+00
585.0,-1.750E+00
595.0,-1.750E+00
610.0,-1.750E+00
620.0,-1.750E+00
630.0,-1.750E+00
640.0,-1.750E+00
650.0,-1.750E+00
660.0,-1.750E+00
670.0,-1.750E+00
680.0,-1.750E+00
690.0,-1.750E+00
692.0,-1.750E+00









Alpha =10 degrees Trajectory,
Vent No.,Y
,-129.77
,
TIME,CP
SEC,
160.0,7.189E-02
165.0,1.703E-01
170.0,4.618E-02
180.0,4.471E-02
190.0,4.269E-02
200.0,3.883E-02
210.0,3.338E-02
220.0,2.635E-02
230.0,1.940E-02
240.0,1.604E-02
250.0,1.827E-02
260.0,2.428E-02
270.0,3.161E-02
280.0,3.748E-02
290.0,4.208E-02
300.0,4.481E-02
310.0,4.567E-02
320.0,4.630E-02
330.0,4.676E-02
340.0,4.799E-02
350.0,4.958E-02
355.0,4.985E-02
360.0,5.011E-02
365.0,5.000E-02
370.0,4.275E-02
375.0,3.795E-02
380.0,2.655E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
